File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
lcd.o,21.103947%,6840,6,2278,4560,2,4
stm32g4xx_hal_tim.o,14.019932%,4544,0,4544,0,0,0
stm32g4xx_hal_rcc.o,9.836166%,3188,0,3188,0,0,0
mc_w.l,8.163895%,2646,0,2646,0,0,0
printfa.o,7.009966%,2272,0,2272,0,0,0
timapp.o,4.732961%,1534,589,1446,0,88,501
lcdapp.o,4.439851%,1439,19,1088,343,8,11
stm32g4xx_hal_dma.o,3.770325%,1222,0,1222,0,0,0
keyapp.o,3.653081%,1184,9,1184,0,0,9
mf_w.l,3.406251%,1104,0,1104,0,0,0
stm32g4xx_hal_gpio.o,2.968128%,962,0,962,0,0,0
tim.o,2.783006%,902,344,902,0,0,344
startup_stm32g431xx.o,1.567369%,508,1024,36,472,0,1024
stm32g4xx_hal_cortex.o,1.474808%,478,0,478,0,0,0
stm32g4xx_hal_pwr_ex.o,1.400759%,454,0,454,0,0,0
dadd.o,1.030514%,334,0,334,0,0,0
stm32g4xx_hal_tim_ex.o,0.981148%,318,0,318,0,0,0
gpio.o,0.956465%,310,0,310,0,0,0
stm32g4xx_hal.o,0.919441%,298,12,290,0,8,4
dmul.o,0.703465%,228,0,228,0,0,0
ddiv.o,0.684953%,222,0,222,0,0,0
depilogue.o,0.573879%,186,0,186,0,0,0
main.o,0.567708%,184,0,184,0,0,0
scheduler.o,0.558452%,181,37,144,0,37,0
dma.o,0.327049%,106,0,106,0,0,0
uldiv.o,0.302366%,98,0,98,0,0,0
ledapp.o,0.256086%,83,1,82,0,1,0
stm32g4xx_hal_msp.o,0.222147%,72,0,72,0,0,0
stm32g4xx_it.o,0.203635%,66,0,66,0,0,0
dfixul.o,0.148098%,48,0,48,0,0,0
cdrcmple.o,0.148098%,48,0,48,0,0,0
init.o,0.148098%,48,0,48,0,0,0
uidiv.o,0.135756%,44,0,44,0,0,0
f2d.o,0.117244%,38,0,38,0,0,0
system_stm32g4xx.o,0.117244%,38,4,18,16,4,0
memseta.o,0.111073%,36,0,36,0,0,0
llsshr.o,0.111073%,36,0,36,0,0,0
llushr.o,0.098732%,32,0,32,0,0,0
llshl.o,0.092561%,30,0,30,0,0,0
handlers.o,0.092561%,30,0,30,0,0,0
entry9a.o,0.024683%,8,0,8,0,0,0
entry2.o,0.024683%,8,0,8,0,0,0
entry5.o,0.012341%,4,0,4,0,0,0
